App,Developer,Price,Rating,Reviews
Couch to 5K®,"ACTIVE Network, LLC",€3.19,4.1,73
Worms 3,Team 17 Digital Limited,€4.49,4.2,170
Navigation Pro: Google Maps Navi on Samsung Watch,SmartWatchStudios,€2.99,4.7,"1,403"
The Game of Life,Marmalade Game Studio,€2.99,4.7,"13,659"
The Game of Life,Marmalade Game Studio,€2.99,4.7,"34,423"
MarineTraffic ship positions,MarineTraffic,€4.99,3.2,"19,708"
MarineTraffic ship positions,MarineTraffic,€4.99,3.2,145
Jason Vale’s Juice ‘n’ Blend,Juice Master,€1.99,4.5,"7,720"
Great Conqueror：Rome,EasyTech,€0.99,4.4,"437,025"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,952
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"253,169"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"71,859"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"2,855,705"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"13,135"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"3,860"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"27,807"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"674,776"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"321,831"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"22,590"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,29
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"1,621"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"68,031"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,18
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"34,385"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"58,217"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,524
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"17,045"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"55,226"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"19,267"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,141
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"149,366"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"31,283"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"22,518"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"3,982"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"6,697"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"1,142"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,105
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"21,955"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"1,590"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"727,310"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"1,249"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,58
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"61,298"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"143,182"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,"138,741"
Fruit Ninja Classic,Halfbrick Studios,€2.99,4.7,32
