No,App,Developer,Rating,Reviews,Website,Price
1,Minecraft,Mojang,4.4,"2,855,618",No Info!,€6.99
2,Official Car/Bike DTT Ireland,Prometric Ireland LTD,4.7,72,No Info!,€12.99
3,HKC SecureComm,HKC Security Ltd.,3.8,171,No Info!,€7.99
4,iTheory Driver Theory Test (DTT) Ireland 2019,Swift Management AG,4.5,"1,403",http://www.swift.ch,€6.99
5,The Wonder Weeks vs 9,Domus Technica,4.8,"13,659",No Info!,€3.49
6,CamScanner (License),INTSIG,2.0,"34,409",No Info!,€2.09
7,Football Manager 2019 Mobile,SEGA,4.1,"19,886",No Info!,€9.99
8,Grand Theft Auto: San Andreas,Rockstar Games,4.4,"436,996",http://www.rockstargames.com,€7.99
9,The TeamTOMM App,The Organised Mum,3.9,144,No Info!,€5.49
10,The Chase,Barnstorm Games,4.5,"7,658",https://www.barnstormgames.com/,€1.99
11,Bloons TD 6,ninja kiwi,4.6,"71,859",http://www.ninjakiwi.com,€5.49
12,Terraria,505 Games Srl,4.3,"250,986",No Info!,€5.49
13,Carbs & Cals - Diabetes & Diet,Chello Publishing Limited,2.7,952,No Info!,€4.99
14,Geometry Dash,RobTop Games,4.6,"674,784",No Info!,€2.09
15,Squeezy: NHS Pelvic Floor App,Living With Ltd,4.6,"1,621",No Info!,€4.49
16,Torque Pro (OBD 2 & Car),Ian Hawkins,3.9,"58,668",No Info!,€3.55
